x,y,z,intensity,gps_time,label,global_id
746058.57301025,2574344.81150757,452.09054565,5397,4503.57226562,30,708010003
746058.51569824,2574344.90690552,452.14236450,8224,4503.57226562,30,708010003
746058.41932373,2574344.54539429,451.38595581,13364,4503.66748047,30,708010003
746058.36402588,2574344.55989014,451.45733643,10794,4503.66748047,30,708010003
746059.02619629,2574344.81010376,452.13125610,8738,4503.66748047,30,708010003
746058.99042969,2574344.95829712,452.20153809,4369,4503.66748047,30,708010003
746058.39136963,2574344.54530273,451.37194824,14906,4503.77246094,30,708010003
746058.35511475,2574344.55390869,451.45385742,18761,4503.77246094,30,708010003
746058.32081299,2574344.57810913,451.53515625,18761,4503.77246094,30,708010003
746058.28608398,2574344.59791504,451.61676025,14906,4503.77246094,30,708010003
746058.25141602,2574344.60530029,451.69476318,3598,4503.77246094,30,708010003
746059.09559326,2574344.85569702,452.11804199,10280,4503.77246094,30,708010003
746058.32441406,2574344.59919678,451.27453613,11308,4503.86816406,30,708010003
746058.30219727,2574344.57829224,451.36175537,11308,4503.86865234,30,708010003
746058.28248291,2574344.57688843,451.44784546,11308,4503.86865234,30,708010003
746058.26582031,2574344.59901367,451.53295898,11308,4503.86865234,30,708010003
746058.25208740,2574344.63630615,451.61325073,11308,4503.86865234,30,708010003
746058.23792725,2574344.82969604,451.77935791,2827,4503.86865234,30,708010003
746059.12092285,2574344.85038696,452.03634644,3084,4503.86865234,30,708010003
746058.22169189,2574344.85459839,451.86544800,2827,4503.86865234,30,708010003
746059.10419922,2574344.86088501,452.11825562,13107,4503.86914062,30,708010003
746058.22340088,2574345.01591431,451.94384766,2827,4503.86914062,30,708010003
746058.25397949,2574345.42729126,452.02664185,2827,4503.86914062,30,708010003
746058.29591064,2574345.29811035,452.07205200,2313,4504.88085938,30,708010003
746058.31269531,2574344.97169434,452.02395630,2056,4504.88085938,30,708010003
746058.36500244,2574344.90870605,451.97033691,2056,4504.88085938,30,708010003
746058.63489990,2574345.11759888,451.74725342,2313,4504.88085938,30,708010003
746058.62049561,2574344.58399902,451.70544434,2056,4504.88085938,30,708010003
746058.67780762,2574344.56498657,451.65115356,11308,4504.88085938,30,708010003
746058.73591309,2574344.55158936,451.59655762,8995,4504.88085938,30,708010003
746058.31947021,2574345.80140625,452.04415894,2570,4504.98193359,30,708010003
746058.28712158,2574345.21510254,451.98733521,2570,4504.98193359,30,708010003
746058.28870850,2574344.89021240,451.92654419,2570,4504.98193359,30,708010003
746058.33161621,2574344.86820923,451.85815430,2570,4504.98193359,30,708010003
746058.10047607,2574347.82139526,451.02084351,3341,4504.98242188,30,708010003
746058.42927246,2574344.62541138,451.66714478,10794,4504.98242188,30,708010003
746059.18391113,2574344.88600098,452.12155151,10537,4504.98242188,30,708010003
746058.08833008,2574347.29179321,450.97604370,3341,4504.98242188,30,708010003
746058.46748047,2574344.57679687,451.60064697,16191,4504.98242188,30,708010003
746059.22651367,2574344.86280762,452.05206299,3341,4504.98242188,30,708010003
746058.13282471,2574347.24958740,450.90295410,10023,4504.98242188,30,708010003
746058.51112061,2574344.56529175,451.53256226,19018,4504.98242188,30,708010003
746058.17738037,2574347.20921265,450.82995605,10023,4504.98242188,30,708010003
746058.55427246,2574344.55180298,451.46453857,7967,4504.98242188,30,708010003
746058.24873047,2574347.38639770,450.74185181,3341,4504.98242188,30,708010003
746058.60126953,2574344.56349121,451.39526367,13621,4504.98242188,30,708010003
746058.64851074,2574344.57701050,451.32574463,13621,4504.98242188,30,708010003
746058.69147949,2574344.56251465,451.25753784,19018,4504.98291016,30,708010003
746058.13709717,2574345.37809692,450.67004395,3084,4504.98291016,30,708010003
746058.13978271,2574345.05061279,450.62576294,3084,4504.98291016,30,708010003
746058.38917236,2574345.06700073,452.06005859,3084,4505.07910156,30,708010003
746058.39967041,2574344.91621338,451.98205566,3084,4505.07910156,30,708010003
746059.27149658,2574345.02040039,452.13714600,3341,4505.07910156,30,708010003
746059.27210693,2574344.85209595,452.06216431,3341,4505.07910156,30,708010003
746058.47199707,2574344.60749756,451.69094849,9509,4505.07910156,30,708010003
746058.49750977,2574344.58879028,451.61874390,22102,4505.07910156,30,708010003
746058.52247314,2574344.56788574,451.54666138,25700,4505.07910156,30,708010003
746058.15272217,2574347.76850830,450.98236084,3855,4505.07910156,30,708010003
746058.54920654,2574344.55848633,451.47406006,4883,4505.07910156,30,708010003
746058.58302002,2574344.54490601,451.38244629,25700,4505.07910156,30,708010003
746058.17768555,2574347.38801514,450.82156372,3598,4505.07910156,30,708010003
746058.61591797,2574344.56608520,451.30435181,22102,4505.07910156,30,708010003
746058.21082764,2574347.39228760,450.73565674,3598,4505.07910156,30,708010003
746058.64527588,2574344.56541382,451.22735596,25700,4505.07910156,30,708010003
746058.25397949,2574347.47938477,450.64355469,3598,4505.07910156,30,708010003
746058.67109375,2574344.54078613,451.15164185,25700,4505.07910156,30,708010003
746058.69471436,2574344.50401245,451.07693481,12593,4505.07910156,30,708010003
746058.74128418,2574345.48390137,452.16864014,2313,4505.18017578,30,708010003
746058.65552979,2574344.85618530,452.09686279,8995,4505.18017578,30,708010003
746058.10780029,2574346.74708496,451.49404907,2570,4505.18066406,30,708010003
746058.66730957,2574344.57960449,451.69354248,8995,4505.18066406,30,708010003
746058.08381348,2574346.45631348,451.41864014,2570,4505.18066406,30,708010003
746058.67457275,2574344.55711304,451.61254883,13364,4505.18066406,30,708010003
746058.07972412,2574346.32990967,451.33694458,2570,4505.18066406,30,708010003
746058.68146973,2574344.53230225,451.53173828,19789,4505.18066406,30,708010003
746058.08472900,2574346.27860962,451.25204468,5140,4505.18066406,30,708010003
746058.69147949,2574344.52699219,451.45016479,22102,4505.18066406,30,708010003
746058.07911377,2574346.14179932,451.17245483,2570,4505.18066406,30,708010003
746058.70350342,2574344.53510986,451.36785889,11051,4505.18066406,30,708010003
746058.09101563,2574346.14741455,451.08505249,2570,4505.18066406,30,708010003
746058.71870117,2574344.56278931,451.28436279,22359,4505.18066406,30,708010003
746058.11292725,2574346.23380981,450.99246216,7710,4505.18066406,30,708010003
746058.16968994,2574346.59721313,450.88046265,2570,4505.18115234,30,708010003
746058.28089600,2574347.39359985,450.73513794,5140,4505.18115234,30,708010003
746058.67481689,2574344.98500000,452.13244629,2056,4505.28173828,30,708010003
746058.64301758,2574344.83250366,452.05316162,6682,4505.28222656,30,708010003
746058.68012695,2574345.12629639,451.96334839,2056,4505.28222656,30,708010003
